# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
dian nao 	電腦	c=7 d=2.13215 t=5227
dian nei 	店內	c=1 d=1 t=8004
dian pu 	店鋪	c=1 d=1 t=5103
dian yuan 	電源	c=2 d=1.99501 t=3868
diao 	掉	c=1 d=1.00003 t=6078
diao le 	掉了	c=1 d=0.304948 t=4427
diao si 	屌絲	c=1 d=1 t=4512
diao xia qu 	掉下去	c=1 d=1 t=1258
diao yong 	調用	c=3 d=0.11945 t=3453
ding 	釘	c=1 d=1 t=3904
ding dan 	訂單	c=2 d=1.00002 t=7479
ding dan hao 	訂單號	c=1 d=1 t=6755
ding ding 	頂頂	c=2 d=1.05208 t=4494
ding shi qi 	定時器	c=2 d=1.96561 t=2595
ding yue 	訂閱	c=2 d=1.9802 t=8092
ding zhen 	丁真	c=2 d=1.02587 t=1133
diu 	丟	c=1 d=1 t=3506
diu le 	丟了	c=1 d=1 t=1017
dong 	動	c=1 d=1 t=374
dong 	懂	c=2 d=1.09753 t=7648
dong 	東	c=1 d=1 t=375
dong bei 	東北	c=1 d=1 t=4039
dong bu dong 	動不動	c=1 d=1 t=5255
dong ji shu 	懂技術	c=1 d=1 t=7644
dong ni 	懂你	c=1 d=1 t=321
dong shou 	動手	c=1 d=1 t=2610
dong tai 	動態	c=0 d=0.1 t=3619
dong wang 	懂王	c=1 d=1 t=1366
dong wo 	懂我	c=1 d=1 t=310
dong xi 	東西	c=4 d=1 t=7004
dong zuo 	動作	c=1 d=1 t=1681
dou 	都	c=47 d=2.05622 t=8084
dou bei 	都被	c=1 d=1 t=4464
dou bei wo 	都被我	c=1 d=1 t=4175
dou bu gan 	都不敢	c=1 d=1 t=8179
dou bu yi ding 	都不一定	c=1 d=1 t=5192
dou bu yong 	都不用	c=1 d=1 t=4515
dou chi 	都喫	c=0 d=0.1 t=6187
dou chi bu bao 	都喫不報	c=1 d=1 t=6188
dou hai zai 	都還在	c=1 d=1 t=1448
dou hen 	都很	c=0 d=0.104505 t=4702
dou hen chang jian 	都很常見	c=1 d=1 t=4703
dou hen zhen shi 	都很真實	c=1 d=1 t=4083
dou hen zheng chang 	都很正常	c=1 d=1 t=1721
dou hui 	都會	c=1 d=1 t=7288
dou ke yi 	都可以	c=2 d=0.10848 t=8019
dou ke yi ba 	都可以吧	c=1 d=1 t=8020
dou kuai 	都快	c=0 d=0.1 t=6626
dou kuai bian cheng 	都快變成	c=1 d=1 t=6627
dou li 	兜裏	c=1 d=1 t=2280
dou mei you 	都沒有	c=3 d=1 t=8116
dou neng 	都能	c=1 d=1 t=3847
dou shan 	都刪	c=1 d=1 t=2690
dou shi 	都是	c=15 d=1.26045 t=8175
dou shi tong shi 	都是同事	c=1 d=1 t=6567
dou ting hao 	都挺好	c=1 d=1 t=5797
dou you 	都有	c=1 d=0.219959 t=1071
dou zhi chi 	都支持	c=1 d=1 t=5145
du 	堵	c=2 d=1.82696 t=6898
du bai 	獨白	c=1 d=1 t=317
du li 	獨立	c=1 d=1 t=3193
du xie 	讀寫	c=8 d=1.04812 t=8154
du zhe 	讀者	c=1 d=1 t=3159
duan 	段	c=0 d=0.1 t=1548
duan 	端	c=3 d=0.100002 t=4605
duan duan de 	短短的	c=1 d=1 t=802
duan duan xu xu 	斷斷續續	c=1 d=1 t=1826
duan kai 	斷開	c=2 d=1.91851 t=7239
duan le 	斷了	c=1 d=1 t=712
duan wei 	段位	c=0 d=0.1 t=8204
dui 	對	c=12 d=1.01916 t=7937
dui 	隊	c=3 d=1.05304 t=7145
dui bu shang 	對不上	c=1 d=1 t=3718
dui jie 	對接	c=1 d=1 t=664
dui le 	對了	c=1 d=1 t=3529
dui mian 	對面	c=2 d=1.00004 t=7721
dui ta 	對他	c=1 d=1 t=837
dui wo 	對我	c=1 d=1 t=1646
dui xian 	對線	c=1 d=1 t=4839
dui you 	隊友	c=1 d=1 t=7720
dun 	蹲	c=1 d=1 t=3858
dun zhe 	蹲着	c=0 d=0.1 t=4094
dun zhe kan 	蹲着看	c=1 d=1 t=4095
duo 	多	c=7 d=1.05671 t=7609
duo da 	多大	c=2 d=1 t=5913
duo fen 	多份	c=1 d=1 t=7982
duo fen 	多分	c=1 d=1 t=7981
duo ge 	躲個	c=1 d=1 t=3977
duo jiu 	多久	c=1 d=1 t=2636
duo kai 	躲開	c=1 d=1 t=2715
duo kuai 	多塊	c=1 d=1 t=1831
duo le 	多了	c=1 d=0.100011 t=3966
duo me 	多麼	c=1 d=1 t=4142
duo nian qian 	多年前	c=0 d=0.1 t=7033
duo shao 	多少	c=16 d=2.48009 t=7251
duo shao ge 	多少個	c=1 d=1 t=927
duo shao qian 	多少錢	c=4 d=1.04809 t=7331
duo zhuang 	多裝	c=1 d=1 t=5219
duo zui 	多嘴	c=2 d=1.99501 t=6994
e 	俄	c=2 d=1.00036 t=6486
e chou 	惡臭	c=0 d=0.1 t=7802
e guo 	俄國	c=2 d=1.92312 t=1859
e mo 	惡魔	c=0 d=0.1 t=3374
e mo re nao 	惡魔熱鬧	c=1 d=1 t=3375
e ne 	額呢	c=1 d=1 t=4880
e xin 	噁心	c=1 d=1.01333 t=7020
en 	嗯	c=1 d=1 t=5875
en 	恩	c=17 d=1.05433 t=8157
en en 	嗯嗯	c=7 d=1.99513 t=6694
er 	兒	c=1 d=1 t=7201
er 	而	c=2 d=0.322112 t=2670
er bu shi 	而不是	c=2 d=1.00007 t=7375
er ci yuan 	二次元	c=1 d=1 t=7336
er ji 	二級	c=2 d=1.00001 t=5421
er qi 	二期	c=3 d=1 t=6174
er qie 	而且	c=11 d=1.0958 t=5172
er san 	二三	c=0 d=0.1 t=5998
er san shi fen zhong 	二三十分鐘	c=1 d=1 t=5999
er shi 	而是	c=1 d=1 t=322
er wo guo 	而我國	c=1 d=1 t=2651
er wo men 	而我們	c=1 d=1 t=2671
er xin 	二心	c=1 d=1 t=7019
er zi 	兒子	c=2 d=1.97456 t=1016
fa 	發	c=3 d=1.00022 t=6737
fa bu chu 	發不出	c=0 d=0.1 t=686
fa bu chu qu 	發不出去	c=1 d=1 t=687
fa da 	發達	c=1 d=1 t=6219
fa ge 	發個	c=1 d=1 t=283
fa gei 	發給	c=2 d=1.00017 t=3231
fa gei ni 	發給你	c=1 d=1 t=3089
fa hong bao 	發紅包	c=1 d=1 t=6404
fa lao sao 	發牢騷	c=0 d=0.1 t=6085
fa le 	發了	c=1 d=1 t=699
fa ming 	發明	c=1 d=1 t=180
fa piao 	發票	c=2 d=1.0534 t=6107
fa piao hao 	發票號	c=1 d=1 t=5518
fa piao li shi na 	發票歷史那	c=1 d=1 t=1249
fa sheng 	發生	c=0 d=0.1 t=8148
fa tie 	發帖	c=1 d=1 t=790
fa xian 	發現	c=1 d=1 t=3148
fa yan 	發言	c=1 d=1 t=3598
fa yu 	發育	c=2 d=1.96561 t=4785
fan 	反	c=1 d=1 t=1872
fan 	飯	c=2 d=1 t=6187
fan chuan 	反串	c=0 d=0.1 t=6150
fan fang xiang 	反方向	c=1 d=1 t=6021
fan hui 	返回	c=1 d=1 t=7527
fan le 	犯了	c=1 d=1 t=5562
fan li 	反例	c=1 d=1 t=4527
fan qiang 	翻牆	c=1 d=1 t=5934
fan ti 	繁體	c=0 d=0.1 t=116
fan xie gang 	反斜槓	c=1 d=1 t=4708
fan yi 	翻譯	c=5 d=0.10132 t=3179
fan zheng 	反正	c=5 d=1.19301 t=7583
fang 	放	c=4 d=1.00468 t=6833
fang an 	方案	c=1 d=1 t=7568
fang bian 	方便	c=3 d=1.20738 t=1669
fang bian de 	方便的	c=1 d=1 t=105
fang bian pao 	放鞭炮	c=1 d=1 t=1375
fang che 	放車	c=1 d=1 t=3219
fang fa 	方法	c=2 d=1 t=4846
fang hu 	防護	c=2 d=1.92312 t=4263
fang jia 	房價	c=1 d=1 t=3025
fang kou dai 	放口袋	c=1 d=1 t=5153
fang shi 	方式	c=4 d=1 t=7321
fang song 	放鬆	c=0 d=0.1 t=4185
fang song yi xia 	放鬆一下	c=1 d=1 t=4186
fang wen 	訪問	c=5 d=1 t=7315
fang xiang 	方向	c=1 d=1 t=1933
fang zai 	放在	c=3 d=1.01194 t=2279
fei 	費	c=0 d=0.1 t=2290
fei 	非	c=1 d=1 t=5367
fei chu qu 	飛出去	c=1 d=1 t=3936
fei wu 	廢物	c=2 d=1.96561 t=4597
fei yao 	非要	c=1 d=1 t=6432
fei yong 	費用	c=1 d=1 t=3716
fei zhou 	非洲	c=1 d=1 t=7815
fen 	分	c=3 d=1.98021 t=7626
fen bian lv 	分辨率	c=2 d=1.77105 t=8119
fen bu qing 	分不清	c=1 d=1 t=7003
fen cheng 	分成	c=1 d=1 t=980
fen chu qu 	分出去	c=1 d=1 t=2257
fen de 	分得	c=1 d=1 t=2397
fen duan 	分段	c=1 d=1 t=914
fen hong 	粉紅	c=1 d=1 t=5927
fen lei 	分類	c=1 d=1 t=2570
fen pian 	分片	c=2 d=1.96079 t=942
fen qu 	分區	c=7 d=3.76375 t=2393
fen san 	分散	c=1 d=1 t=5461
fen xi 	分析	c=1 d=1 t=3092
fen xiang 	分享	c=2 d=1 t=4057
fen xiang yi ge 	分享一個	c=1 d=1 t=519
fen zhuan hei 	粉轉黑	c=1 d=1 t=3779
feng 	封	c=4 d=1.27971 t=8074
feng ge 	風格	c=2 d=1.13738 t=7734
feng kuang 	瘋狂	c=1 d=1 t=278
feng liu 	風流	c=1 d=1 t=4070
feng shen 	風神	c=1 d=1 t=8186
feng sheng 	風聲	c=1 d=1 t=4602
feng yi 	豐頤	c=1 d=1 t=1575
feng yin 	封印	c=1 d=1 t=7956
fo 	佛	c=1 d=1 t=7835
fo jiao 	佛教	c=3 d=1.98469 t=7821
fou 	否	c=1 d=1 t=2253
fu 	夫	c=1 d=1 t=5569
fu 	服	c=0 d=0.1 t=6065
fu 	父	c=1 d=1 t=6092
fu ban 	父版	c=1 d=1 t=8140
fu dao yuan 	輔導員	c=1 d=1 t=1499
fu fei 	付費	c=0 d=0.1 t=210
fu fei jiao 	付費叫	c=1 d=1 t=211
fu fei jiao 	福費繳	c=6 d=1.00054 t=6753
fu gai 	覆蓋	c=1 d=1 t=5454
fu hao 	符號	c=1 d=1 t=2101
fu he 	符合	c=1 d=1 t=676
fu huo jie 	復活節	c=4 d=3.75695 t=7967
fu ke 	復刻	c=0 d=0.1 t=75
fu qian 	付錢	c=1 d=1 t=6533
fu wu 	服務	c=11 d=1.00001 t=7476
fu wu qi 	服務器	c=6 d=2.5776 t=7595
fu wu shang 	服務商	c=1 d=1 t=3390
fu za 	複雜	c=1 d=1.00002 t=2377
fu za zi 	複雜字	c=1 d=1 t=635
fu zhi 	複製	c=0 d=0.1 t=74
fu zhi guo lai 	複製過來	c=1 d=1 t=75
fu zhu 	輔助	c=1 d=1.00813 t=8207
fu zi 	父子	c=1 d=1 t=6090
ga 	噶	c=1 d=1 t=3419
ga chui 	噶吹	c=1 d=1 t=5712
ga hei 	噶黑	c=1 d=1 t=4660
ga hei 	尬黑	c=3 d=1.00896 t=7865
ga le 	噶了	c=2 d=1.97531 t=4912
ga li 	咖喱	c=0 d=0.1 t=4794
ga li ao 	咖喱奧	c=1 d=1 t=4795
gai 	改	c=2 d=1.96561 t=206
gai 	蓋	c=1 d=1 t=3763
gai 	該	c=5 d=1 t=7256
gai bian 	改變	c=1 d=1 t=2076
gai cheng 	改成	c=1 d=1 t=3527
gai hao 	改好	c=1 d=1 t=6688
gai hao 	蓋好	c=2 d=1 t=6687
gai le 	改了	c=1 d=1 t=4477
gan 	敢	c=1 d=1 t=780
gan 	淦	c=3 d=1.00121 t=4631
gan bao 	淦爆	c=1 d=1 t=6334
gan cui 	乾脆	c=1 d=1 t=5129
gan dao 	幹到	c=1 d=1 t=2784
gan de 	乾的	c=1 d=1 t=4789
gan en jie 	感恩節	c=2 d=1.9802 t=7812
gan ga 	尷尬	c=1 d=1 t=6513
gan huo 	幹活	c=1 d=1 t=3043
gan jing 	乾淨	c=3 d=1.08027 t=7272
gan jue 	感覺	c=6 d=0.372188 t=7392
gan rao 	干擾	c=1 d=1 t=2768
gan sha 	幹啥	c=1 d=1 t=1836
gan shen me 	幹什麼	c=1 d=1 t=6429
gang 	剛	c=2 d=1.00013 t=6471
gang 	槓	c=1 d=1 t=357
gang gang 	剛剛	c=1 d=1 t=2705
gao 	搞	c=3 d=0.100265 t=5790
gao 	高	c=4 d=1.00011 t=5841
gao dang 	高檔	c=0 d=0.1 t=7095
gao du 	高度	c=1 d=1 t=6218
gao fen 	高分	c=2 d=1.00001 t=6458
gao ji 	高級	c=0 d=0.1 t=7395
gao ji xiao 	搞績效	c=1 d=1 t=805
gao kuai dian 	搞快點	c=1 d=1 t=5791
gao qing 	高清	c=0 d=0.1 t=7350
gao qing bi zhi 	高清壁紙	c=1 d=1 t=7351
gao su 	告訴	c=2 d=1.0003 t=5684
gao su 	高速	c=2 d=0.100307 t=5682
gao su ni 	告訴你	c=0 d=0.1 t=4060
gao xing neng 	高性能	c=1 d=1 t=3783
ge 	個	c=22 d=2.65961 t=7786
ge 	格	c=1 d=1 t=7760
ge 	歌	c=2 d=1.00852 t=2604
ge bi 	隔壁	c=1 d=1 t=4369
ge ge 	哥哥	c=1 d=1 t=6468
ge ju 	格局	c=1 d=1 t=7752
ge li 	隔離	c=0 d=0.1 t=7554
ge mao 	個毛	c=0 d=0.1 t=3822
ge ming 	革命	c=1 d=1 t=6180
ge ren 	個人	c=1 d=1 t=7791
ge shi 	格式	c=1 d=0.35924 t=452
ge shou 	歌手	c=1 d=1 t=3190
ge zhong 	各種	c=2 d=1 t=7831
gei 	給	c=18 d=0.847894 t=8218
gei chu 	給出	c=1 d=0.786628 t=8218
gei ke hu 	給客戶	c=1 d=1 t=4421
gei ni 	給你	c=2 d=1.39259 t=1202
gei ta 	給他	c=5 d=1.00001 t=7078
gei wo 	給我	c=3 d=1.00021 t=5995
gen 	根	c=3 d=1.08127 t=5559
gen 	跟	c=9 d=0.748264 t=8218
gen ben 	根本	c=1 d=1 t=1553
gen ju 	根據	c=2 d=1 t=6207
gen ne 	根呢	c=1 d=1 t=2780
gen sui 	跟隨	c=1 d=1 t=4085
gen ta 	跟他	c=2 d=1 t=4536
gen wo 	跟我	c=1 d=1 t=5751
gen wo men 	跟我們	c=1 d=1 t=457
geng 	更	c=2 d=0.1 t=7565
geng 	梗	c=1 d=1 t=5620
geng gai 	更改	c=1 d=1 t=3884
geng hao 	更好	c=1 d=1 t=2225
geng huan 	更換	c=0 d=0.1 t=114
geng huan ci ku 	更換詞庫	c=1 d=1 t=115
geng jie yue 	更節約	c=1 d=1 t=7566
geng shuang 	梗爽	c=1 d=1 t=6794
geng xin 	更新	c=18 d=1 t=6653
geng zhong yao 	更重要	c=1 d=1 t=1917
gong 	工	c=1 d=1 t=4341
gong an 	公安	c=1 d=1 t=803
gong ce 	公測	c=1 d=1 t=3455
gong chan 	共產	c=2 d=1.81465 t=6291
gong chang 	工廠	c=1 d=1 t=4141
gong dan 	工單	c=0 d=0.1 t=5516
gong dan hao 	工單號	c=3 d=1.99506 t=7484
gong gong 	公共	c=1 d=1 t=2057
gong ju 	工具	c=4 d=1.00002 t=3104
gong li 	公里	c=1 d=1 t=1828
gong lve 	攻略	c=1 d=1 t=5904
gong neng 	功能	c=7 d=1.06587 t=7615
gong si 	公司	c=6 d=1.71592 t=5191
gong xiang 	共享	c=3 d=1 t=7577
gong zheng 	公正	c=1 d=1 t=7252
gong zuo 	工作	c=5 d=1.00021 t=4413
gou 	勾	c=1 d=1 t=8212
gou 	夠	c=0 d=0.1 t=3443
gou 	狗	c=2 d=1.05615 t=7679
gou ba 	勾把	c=3 d=1.00499 t=6321
gou tou 	狗頭	c=2 d=1.00195 t=6923
gou yong 	夠用	c=1 d=1 t=5846
gou zi 	鉤子	c=1 d=1 t=6813
gu 	股	c=0 d=0.1 t=6046
gu dai 	古代	c=1 d=1 t=4893
gu de jia 	股的家	c=1 d=1 t=6047
gu ding 	固定	c=1 d=1 t=2474
gu du 	孤獨	c=2 d=1.99501 t=1963
gu ji 	估計	c=2 d=1.04929 t=7838
gu shi 	故事	c=1 d=1 t=7964
gu shi ci 	古詩詞	c=1 d=1 t=673
gu tai 	固態	c=3 d=1.94318 t=6006
gu tai ying pan 	固態硬盤	c=1 d=1 t=5873
gu tou 	骨頭	c=0 d=0.1 t=327
gu tou yi yang 	骨頭一樣	c=1 d=1 t=328
gua le 	掛了	c=3 d=1.00004 t=5631
gua zai 	掛在	c=2 d=1.956 t=3004
gua zai 	掛載	c=2 d=1 t=8151
guai 	乖	c=1 d=1 t=6708
guai 	怪	c=1 d=1 t=6705
guai bu de 	怪不得	c=1 d=1 t=1430
guai wo 	怪我	c=1 d=1 t=7779
guan 	關	c=2 d=1.00046 t=5893
guan bi 	關閉	c=3 d=1.23383 t=4161
guan cha 	觀察	c=1 d=1.0001 t=2164
guan cha guan cha 	觀察觀察	c=1 d=1 t=784
guan hao 	官號	c=1 d=1 t=1357
guan kan 	觀看	c=0 d=0.1 t=1062
guan kan ren shu 	觀看人數	c=1 d=1 t=1063
guan li 	管理	c=6 d=1 t=6852
guan li yuan 	管理員	c=1 d=1 t=2134
guan lian 	關聯	c=1 d=1 t=4465
guan men 	關門	c=2 d=1.92774 t=6623
guan ta 	管他	c=1 d=1 t=2619
guan tou 	罐頭	c=1 d=1 t=6571
guan wang 	官網	c=3 d=1.9802 t=4285
guan xi 	關係	c=4 d=1.00638 t=6652
guang 	逛	c=1 d=1 t=1598
guang chang 	廣場	c=6 d=4.6345 t=1454
guang da 	廣達	c=0 d=0.1 t=5659
guang dong 	廣東	c=2 d=1.93239 t=5015
guang gao 	廣告	c=1 d=1 t=5040
guang ming jie 	光明節	c=1 d=1 t=7930
guang xi 	廣西	c=1 d=1 t=5659
gui fan 	規範	c=2 d=1.99005 t=4292
gui ge 	規格	c=1 d=1 t=5982
gui huo 	鬼火	c=1 d=1 t=7756
gui ji 	詭計	c=2 d=1.98511 t=5244
gui su 	歸宿	c=1 d=1 t=2958
gui ze 	規則	c=2 d=1.00121 t=6761
guo 	國	c=3 d=1.13966 t=3655
guo 	過	c=7 d=1.17156 t=6559
guo 	鍋	c=1 d=1 t=6945
guo bu liao 	過不了	c=1 d=1 t=3357
guo bu qu 	過不去	c=1 d=1 t=6402
guo er 	過兒	c=1 d=1 t=3240
guo hui 	國會	c=7 d=6.01311 t=2668
guo ji 	國際	c=15 d=13.367 t=6313
guo ji zhu yi 	國際主義	c=1 d=1 t=6316
guo jia 	國家	c=4 d=1.956 t=6265
guo jun 	國軍	c=0 d=0.1 t=1888
guo lai 	過來	c=0 d=0.1 t=74
guo le 	過了	c=1 d=1 t=8161
guo lv 	過濾	c=2 d=1.9802 t=4320
guo nian 	過年	c=3 d=1.00001 t=7940
guo qi 	國企	c=1 d=1 t=3921
guo qi 	過期	c=2 d=1 t=8012
guo qi le 	過期了	c=1 d=1 t=4191
guo qing ren 	國清人	c=1 d=1 t=1954
guo qu 	過去	c=2 d=1 t=7225
guo tai 	國泰	c=0 d=0.1 t=1118
guo tai jiu 	國泰就	c=1 d=1 t=1119
guo wai 	國外	c=1 d=1 t=1707
ha ha 	哈哈	c=2 d=1.00288 t=4959
ha ha ha 	哈哈哈	c=2 d=1 t=7917
hai 	還	c=14 d=0.263432 t=7515
hai bao 	海報	c=1 d=1 t=5038
hai bei 	還被	c=1 d=1 t=6882
hai bu 	還不	c=1 d=0.29593 t=6319
hai bu cuo 	還不錯	c=1 d=1 t=1533
hai bu da 	還不打	c=1 d=1 t=6320
hai bu shi 	還不是	c=1 d=1 t=7683
hai bu xing 	還不行	c=1 d=1 t=5171
hai de 	害得	c=0 d=0.0878095 t=8218
hai de qu 	害得去	c=1 d=0.882497 t=8218
hai dui 	還對	c=1 d=1 t=1326
hai duo 	還多	c=1 d=1 t=7310
hai hao 	還好	c=2 d=1 t=6506
hai hao shi 	還好使	c=1 d=1 t=1322
hai hui 	還會	c=1 d=1 t=7603
hai kan 	還看	c=1 d=1 t=4014
hai kang 	海康	c=1 d=1 t=5963
hai ke yi 	還可以	c=1 d=1 t=337
hai lang fei 	還浪費	c=1 d=1 t=7516
hai mei 	還沒	c=3 d=1 t=7688
hai mei gei 	還沒給	c=1 d=1 t=6563
hai neng 	還能	c=5 d=2.32315 t=8103
hai qing 	還請	c=0 d=0.1 t=6568
hai qing wo 	還請我	c=1 d=1 t=6569
hai shi 	還是	c=28 d=2.20057 t=8184
hai shi gou 	還是狗	c=1 d=1 t=7564
hai shi zai 	還是在	c=1 d=1 t=3859
hai wai 	海外	c=1 d=1 t=8079
hai wen 	還問	c=0 d=0.1 t=1644
hai wen me 	還問麼	c=1 d=1 t=1645
hai wo 	害我	c=1 d=1 t=5883
hai xiang 	還想	c=1 d=1 t=7361
hai xing 	還行	c=3 d=1.05106 t=4169
hai yao 	還要	c=4 d=1.0234 t=7283
hai yong 	還用	c=1 d=1 t=4556
hai you 	還有	c=15 d=1.46099 t=7613
hai zai 	還在	c=1 d=1 t=4336
hai zhen shi 	還真是	c=1 d=1 t=334
hai zi 	孩子	c=1 d=1 t=7986
hai zuo 	還做	c=1 d=1 t=184
han guo 	韓國	c=5 d=3.00442 t=6332
han jian 	漢奸	c=1 d=1 t=5932
han leng 	寒冷	c=2 d=1.99501 t=330
hang 	行	c=1 d=1 t=2843
hang zhou 	杭州	c=2 d=1.81873 t=4067
hang zhou shi 	杭州市	c=1 d=1 t=77
hao 	好	c=19 d=0.125514 t=7632
hao 	號	c=7 d=1 t=8081
hao bian tai 	好變態	c=1 d=1 t=4701
hao chang 	好長	c=1 d=1 t=5012
hao de 	好的	c=37 d=2.6606 t=8192
hao duo 	好多	c=3 d=1 t=7037
hao duo nian qian 	好多年前	c=1 d=1 t=7034
hao hao 	好好	c=3 d=1 t=6087
hao hao dang dang 	浩浩蕩蕩	c=1 d=1 t=6243
hao hao xue 	好好學	c=1 d=1 t=6083
hao ji 	好幾	c=1 d=1 t=3323
hao ji 	好記	c=0 d=0.1 t=5044
hao ji shi 	好幾十	c=1 d=1 t=7102
hao ji tiao 	好幾條	c=1 d=1 t=700
hao ji yi 	好記憶	c=1 d=1 t=5045
hao jiu 	好久	c=1 d=1 t=5194
hao kan 	好看	c=1 d=1 t=4990
hao le 	好了	c=13 d=2.34372 t=8200
hao le ba 	好了吧	c=0 d=0.1 t=3286
hao liu 	好溜	c=1 d=1 t=7887
hao ma 	號碼	c=1 d=1 t=3398
hao qi xin 	好奇心	c=1 d=1 t=5896
hao shen qi 	好神奇	c=1 d=1 t=1791
hao shi 	好使	c=1 d=1 t=5139
hao shi ji 	好時機	c=1 d=1 t=2606
hao shuo 	好說	c=0 d=0.1 t=6184
hao shuo de 	好說的	c=1 d=1 t=6185
hao tong 	好痛	c=1 d=1 t=5059
hao xiang 	好像	c=6 d=1.15645 t=4955
hao xiang ke yi 	好像可以	c=1 d=1 t=2686
hao yong 	好用	c=1 d=1 t=1541
he 	何	c=1 d=1 t=385
he 	合	c=4 d=2.53584 t=1090
he 	和	c=52 d=0.989761 t=8218
he 	喝	c=2 d=1.5886 t=7218
he 	盒	c=2 d=1.99005 t=5922
he bei 	河北	c=2 d=1.99501 t=4037
he dan 	核彈	c=1 d=1 t=1018
he dui 	覈對	c=1 d=1 t=4196
he li 	合理	c=1 d=1 t=361
he nan 	河南	c=2 d=1.9802 t=1989
he suan 	覈算	c=1 d=1 t=2300
he zai 	何在	c=1 d=1 t=7253
he zhe 	合着	c=1 d=1 t=1009
he zuo 	合作	c=4 d=3.73382 t=2308
hei 	黑	c=3 d=0.113348 t=6393
hei ka fei 	黑咖啡	c=1 d=1 t=5985
hei se su 	黑色素	c=2 d=1.96561 t=7144
hei zi 	黑子	c=1 d=1 t=5945
hen 	很	c=3 d=0.135335 t=7802
hen da 	很大	c=1 d=1 t=2019
hen di 	很低	c=1 d=1 t=986
hen duo 	很多	c=4 d=1.00001 t=4104
hen duo nian qian 	很多年前	c=1 d=1 t=1283
hen e chou 	很惡臭	c=1 d=1 t=7803
hen gao dang 	很高檔	c=1 d=1 t=7096
hen gao ji 	很高級	c=1 d=1 t=7396
hen hao yong 	很好用	c=2 d=1.00456 t=4658
hen ji 	很急	c=1 d=1 t=4812
hen jian dan 	很簡單	c=1 d=1 t=2802
hen ke ai 	很可愛	c=1 d=1 t=6716
hen kuai 	很快	c=1 d=1 t=5623
hen li hai 	很厲害	c=1 d=1 t=7395
hen liu 	很溜	c=1 d=1 t=7046
hen qiang 	很強	c=0 d=0.1 t=5601
hen qiang zhuang 	很強壯	c=1 d=1 t=5602
hen shao 	很少	c=3 d=1.00001 t=7338
hen wan 	很晚	c=1 d=1 t=6493
hen wen ding 	很穩定	c=1 d=1 t=2465
hen xi huan 	很喜歡	c=2 d=1.00009 t=7349
hen zheng chang 	很正常	c=1 d=1.06005 t=1822
hen zuo 	很左	c=1 d=1 t=6119
heng fu 	橫幅	c=0 d=0.1 t=3064
heng tong 	橫通	c=1 d=1 t=5027
heng xiang 	橫向	c=2 d=1.99501 t=3371
hong 	紅	c=6 d=1 t=6173
hong bao 	紅包	c=1 d=1 t=2614
hong lou 	紅樓	c=1 d=1 t=7402
hong meng 	鴻蒙	c=2 d=1.94649 t=4549
hong qi 	紅旗	c=5 d=4.77248 t=6363
hong se 	紅色	c=1 d=1 t=1918
hou lai 	後來	c=2 d=1.96079 t=3676
hou mian 	後面	c=1 d=1 t=3488
hou mian qing qiu 	後面請求	c=1 d=1 t=882
hou qi 	後期	c=2 d=1 t=6205
hou tai 	後臺	c=1 d=1 t=4318
hu 	糊	c=0 d=0.1 t=8126
hu wai 	戶外	c=1 d=1 t=3860
hu xiang 	互相	c=0 d=0.1 t=2797
hu xiang cheng jiu 	互相成就	c=1 d=1 t=2798
hua 	話	c=3 d=1 t=8056
hua ban 	滑板	c=0 d=0.1 t=4874
hua ban xie 	滑板謝	c=1 d=1 t=4875
hua dong 	滑動	c=1 d=1 t=3354
hua qian 	花錢	c=1 d=1 t=3049
hua qiang 	華強	c=2 d=1.98511 t=2751
hua wei 	華爲	c=4 d=0.100043 t=7212
hua wei yun 	華爲雲	c=1 d=1 t=7213
huai 	壞	c=2 d=2.08709 t=6965
huai le 	壞了	c=1 d=1 t=6578
huai ren 	壞人	c=1 d=1 t=5840
huai yi 	懷疑	c=0 d=0.1 t=7797
huan 	換	c=7 d=1.83668 t=6582
huan 	還	c=1 d=1 t=3055
huan cheng 	換成	c=1 d=1 t=5125
huan cun 	緩存	c=2 d=1.00676 t=1426
huan ge 	換個	c=2 d=1 t=7805
huan jing 	環境	c=2 d=1.00053 t=3873
huan le 	換了	c=1 d=1 t=6696
huan suan 	換算	c=1 d=1 t=1065
huan ying guang lin 	歡迎光臨	c=1 d=1 t=8002
huang jin 	黃進	c=1 d=1 t=2332
huang qu 	黃曲	c=1 d=1 t=3379
huang se 	黃色	c=1 d=1 t=7652
huang xiao ming 	黃曉明	c=2 d=0.752014 t=8218
hui 	回	c=3 d=1.69683 t=2117
hui 	慧	c=1 d=1 t=3974
hui 	會	c=15 d=1.54849 t=8153
hui bi 	會比	c=1 d=1 t=3485
hui bian 	會變	c=0 d=0.1 t=1179
hui bian wei 	會變爲	c=1 d=1 t=1180
hui bu hui 	會不會	c=3 d=1.00001 t=5955
hui che 	回車	c=1 d=1 t=686
hui chu 	會出	c=0 d=0.1 t=2127
hui chu xian 	會出現	c=1 d=1 t=2128
hui fa sheng 	會發生	c=1 d=1 t=8149
hui fu 	回覆	c=2 d=1.65127 t=3653
